"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"67",41,133,545482,133,19798370,"Tree Cover = 33%",133,201,91,0.521569,0.788235,0.356863,121312,0.2
"68",42,134,619322,134,20709922,"Tree Cover = 34%",128,199,88,0.501961,0.780392,0.345098,137734,0.2
"69",44,136,782877,136,22885140,"Tree Cover = 36%",124,194,83,0.486275,0.760784,0.32549,174108,0.2
"70",94,186,544720,186,17949728,"Tree Cover = 86%",13,79,7,0.05098,0.309804,0.027451,121143,0.2
"71",95,187,822779,187,15980379,"Tree Cover = 87%",13,77,7,0.05098,0.301961,0.027451,182982,0.2
"72",194,343,544596,343,46955429,"Herb Cover = 43%",255,158,66,1,0.619608,0.258824,121115,0.2
"73",195,344,710237,344,50023473,"Herb Cover = 44%",255,158,66,1,0.619608,0.258824,157953,0.2
"74",197,346,819333,346,54216771,"Herb Cover = 46%",255,153,64,1,0.6,0.25098,182215,0.2
"75",198,347,705406,347,53469325,"Herb Cover = 47%",255,152,61,1,0.596078,0.239216,156879,0.2
"76",199,348,658449,348,55173133,"Herb Cover = 48%",255,152,61,1,0.596078,0.239216,146436,0.2
"77",200,349,666483,349,56267676,"Herb Cover = 49%",255,147,59,1,0.576471,0.231373,148222,0.2
"78",201,350,692982,350,54396823,"Herb Cover = 50%",255,147,59,1,0.576471,0.231373,154115,0.2
"79",202,351,714082,351,18608296,"Herb Cover = 51%",255,146,56,1,0.572549,0.219608,158808,0.2
"80",203,352,739367,352,57078608,"Herb Cover = 52%",255,142,56,1,0.556863,0.219608,164431,0.2
"81",204,353,759767,353,53227170,"Herb Cover = 53%",255,141,54,1,0.552941,0.211765,168968,0.2
"82",205,354,776848,354,52182257,"Herb Cover = 54%",255,141,54,1,0.552941,0.211765,172767,0.2
"83",207,356,788445,356,49731921,"Herb Cover = 56%",255,136,51,1,0.533333,0.2,175346,0.2
"84",208,357,775767,357,19484636,"Herb Cover = 57%",255,136,51,1,0.533333,0.2,172526,0.2
"85",209,358,745540,358,47124967,"Herb Cover = 58%",255,135,48,1,0.529412,0.188235,165804,0.2
"86",210,359,700356,359,43364996,"Herb Cover = 59%",255,131,48,1,0.513725,0.188235,155755,0.2
"87",211,360,636321,360,42643331,"Herb Cover = 60%",255,130,46,1,0.509804,0.180392,141514,0.2
"88",212,361,563526,361,39712972,"Herb Cover = 61%",255,130,46,1,0.509804,0.180392,125325,0.2
"89",11,32,257568,32,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,57282,0.1
"90",12,61,351961,61,5090489,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,78274,0.1
