"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"99",131,1970,379771,1970,380368,14110,52,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,-9999,-9999,24,100,-9999,-9999,"II-C",235,255,0,0.921569,1,0,84459,0.1
"100",136,1975,295223,1975,325853,14920,52,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,65656,0.1
"101",137,1976,251629,1976,773497,14930,52,"14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,55961,0.1
"102",147,2031,451564,2031,467148,14660,49,"14660_49","Great Lakes Wooded Dune and Swale","Riparian",2663,533,-9999,444,17,83,-9999,"V-A",181,0,0,0.709804,0,0,100425,0.1
"103",0,-1111,426,-1111,816778746,-1111,-1111,"-1111","Fill-Not Mapped","Fill-Not Mapped",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",111,111,111,0.435294,0.435294,0.435294,95,0
"104",2,31,67658,31,96946596,31,0,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902,15047,0
"105",6,1564,121114,1564,274042,13110,50,"13110_50","North-Central Interior Dry Oak Forest and Woodland","Hardwood",104,98,19,14,14,14,72,"I-B",179,207,143,0.701961,0.811765,0.560784,26935,0
"106",13,1572,37433,1572,1966326,14071,50,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258824,0,8325,0
"107",15,1574,69840,1574,70006,14090,50,"14090_50_64","Great Lakes Alvar","Conifer",439,3247,-9999,387,88,12,-9999,"V-A",227,235,117,0.890196,0.921569,0.458824,15532,0
"108",16,1575,38455,1575,2198926,14120,50,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,8552,0
"109",18,1577,56463,1577,56467,14440,50,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",-9999,581,312,203,-9999,35,65,"V-A",69,69,156,0.270588,0.270588,0.611765,12557,0
"110",20,1579,160826,1579,1416347,14710,50,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,432,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,35767,0
"111",28,1587,11,1587,5108234,15170,50,"15170_42_49_50","Paleozoic Plateau Bluff and Talus","Hardwood-Conifer",15,126,102,12,79,9,12,"II-B",106,117,0,0.415686,0.458824,0,2,0
"112",31,1590,29895,1590,7138141,13100,41,"13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,18,24,58,"I-B",176,163,222,0.690196,0.639216,0.870588,6648,0
"113",32,1591,14431,1591,12175250,13140,41,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,3209,0
"114",33,1592,26,1592,457321,13310,41,"13310_39_40_41","Eastern Great Plains Tallgrass Aspen Parkland","Hardwood",16,-9999,8,6,35,-9999,65,"I-B",220,240,0,0.862745,0.941176,0,6,0
"115",38,1599,268,1599,8909275,13940,41,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,60,0
"116",39,1600,4659,1600,2501596,13950,41,"13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196,1036,0
"117",40,1601,25375,1601,498108,14071,41,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258824,0,5643,0
"118",42,1603,5509,1603,3016992,14120,41,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,1225,0
"119",44,1606,393,1606,777077,14710,41,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,432,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,87,0
"120",48,1611,2046,1611,2310,14920,41,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",122,245,202,0.478431,0.960784,0.792157,455,0
"121",49,1613,150167,1613,4417794,14940,41,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,-9999,-9999,18,100,-9999,-9999,"II-C",0,168,107,0,0.658824,0.419608,33396,0
"122",70,1634,62190,1634,62256,14660,51,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,-9999,468,13,87,-9999,"V-A",181,0,0,0.709804,0,0,13831,0
