OID_,Value,Count,Clip_bps_220,Clip_evt_230,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
1823,1823,4.000000000000000,1600,9315,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Northern & Central Native Ruderal Forest,Conifer-Hardwood
1824,1824,3.000000000000000,2724,7970,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Eastern Cool Temperate Orchard,Agricultural
1825,1825,5.000000000000000,1602,9203,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Northern Great Lakes Interdunal Wetland,Riparian
1826,1826,109.000000000000000,1600,9112,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer
1827,1827,50.000000000000000,1600,7362,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer
1828,1828,8.000000000000000,1600,9088,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
1829,1829,149.000000000000000,1600,7299,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Developed-Roads,Developed-Roads
1830,1830,16.000000000000000,1600,7907,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Eastern Cool Temperate Urban Mixed Forest,Developed
1831,1831,3.000000000000000,1600,7909,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Eastern Cool Temperate Urban Shrubland,Developed
1832,1832,124.000000000000000,1601,7296,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Developed-Low Intensity,Developed-Low Intensity
1833,1833,50.000000000000000,1601,7238,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood
1834,1834,235.000000000000000,1633,7927,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Eastern Cool Temperate Developed Mixed Forest,Developed
